Country,State,Region,Farm_ID,Year,Quarter,Week,Water_Weekly_L,Water_Daily_Avg_L,Nitrogen_Weekly,Phosphorus_Weekly,Potassium_Weekly,Calcium_Weekly,Magnesium_Weekly,Temperature_Avg_C,Sunlight_Hours,Humidity_Percent,Season,time_index,farm_time_index,week_sin,week_cos,quarter_sin,quarter_cos,total_fertiliser,temperature_x_humidity,sunlight_x_temperature,Water_Weekly_L_lag_1,Water_Weekly_L_lag_2,Water_Weekly_L_lag_4,Water_Weekly_L_lag_8,Water_Weekly_L_rolling_mean_2,Water_Weekly_L_rolling_mean_4,Water_Weekly_L_rolling_mean_8,Temperature_Avg_C_lag_1,Temperature_Avg_C_lag_2,Temperature_Avg_C_lag_4,Temperature_Avg_C_lag_8,Temperature_Avg_C_rolling_mean_2,Temperature_Avg_C_rolling_mean_4,Temperature_Avg_C_rolling_mean_8,Sunlight_Hours_lag_1,Sunlight_Hours_lag_2,Sunlight_Hours_lag_4,Sunlight_Hours_lag_8,Sunlight_Hours_rolling_mean_2,Sunlight_Hours_rolling_mean_4,Sunlight_Hours_rolling_mean_8,Humidity_Percent_lag_1,Humidity_Percent_lag_2,Humidity_Percent_lag_4,Humidity_Percent_lag_8,Humidity_Percent_rolling_mean_2,Humidity_Percent_rolling_mean_4,Humidity_Percent_rolling_mean_8,Nitrogen_Weekly_lag_1,Nitrogen_Weekly_lag_2,Nitrogen_Weekly_lag_4,Nitrogen_Weekly_lag_8,Nitrogen_Weekly_rolling_mean_2,Nitrogen_Weekly_rolling_mean_4,Nitrogen_Weekly_rolling_mean_8,Phosphorus_Weekly_lag_1,Phosphorus_Weekly_lag_2,Phosphorus_Weekly_lag_4,Phosphorus_Weekly_lag_8,Phosphorus_Weekly_rolling_mean_2,Phosphorus_Weekly_rolling_mean_4,Phosphorus_Weekly_rolling_mean_8,Potassium_Weekly_lag_1,Potassium_Weekly_lag_2,Potassium_Weekly_lag_4,Potassium_Weekly_lag_8,Potassium_Weekly_rolling_mean_2,Potassium_Weekly_rolling_mean_4,Potassium_Weekly_rolling_mean_8,Calcium_Weekly_lag_1,Calcium_Weekly_lag_2,Calcium_Weekly_lag_4,Calcium_Weekly_lag_8,Calcium_Weekly_rolling_mean_2,Calcium_Weekly_rolling_mean_4,Calcium_Weekly_rolling_mean_8,Magnesium_Weekly_lag_1,Magnesium_Weekly_lag_2,Magnesium_Weekly_lag_4,Magnesium_Weekly_lag_8,Magnesium_Weekly_rolling_mean_2,Magnesium_Weekly_rolling_mean_4,Magnesium_Weekly_rolling_mean_8
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,11,486187.7,69455.38571428572,23.6,9.6,16.9,7.0,4.9,21.62857142857143,8.642857142857142,73.87142857142858,Summer,10,10,-0.822983865893657,0.5680647467311548,1.0,6.123233995736766e-17,62.0,1597.7334693877553,186.9326530612245,492208.6,515470.2,505372.6,505046.5,503839.4,505169.64999999997,500443.2,21.314285714285717,20.557142857142857,20.714285714285715,18.642857142857142,20.935714285714287,20.996428571428574,20.36964285714286,8.628571428571428,8.371428571428572,7.871428571428572,7.985714285714286,8.5,8.310714285714287,8.15,74.14285714285714,74.54285714285713,77.37142857142858,78.85714285714286,74.34285714285713,75.00357142857143,76.56071428571428,24.6,29.0,24.1,24.6,26.8,25.275,25.6875,11.1,9.8,9.6,8.8,10.45,9.975,9.5875,15.4,14.7,16.8,16.3,15.05,15.375,15.375,6.4,6.6,7.2,6.8,6.5,6.7,6.725,4.1,4.6,4.6,4.1,4.35,4.55,4.475
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,12,514355.3,73479.32857142857,26.6,9.3,15.8,6.5,4.4,20.6,8.671428571428573,75.0,Summer,11,11,-0.4647231720437684,0.88545602565321,1.0,6.123233995736766e-17,62.6,1545.0,178.63142857142861,486187.7,492208.6,507627.2,479864.7,489198.15,500373.42500000005,498085.85,21.62857142857143,21.314285714285717,21.4,20.542857142857144,21.471428571428575,21.225,20.742857142857144,8.642857142857142,8.628571428571428,8.371428571428572,7.928571428571429,8.635714285714286,8.50357142857143,8.232142857142858,73.87142857142858,74.14285714285714,73.95714285714287,79.08571428571429,74.00714285714287,74.12857142857143,75.9375,23.6,24.6,23.4,27.2,24.1,25.150000000000002,25.5625,9.6,11.1,9.4,9.8,10.35,9.975,9.6875,16.9,15.4,14.6,16.5,16.15,15.399999999999999,15.45,7.0,6.4,6.6,6.8,6.7,6.65,6.75,4.9,4.1,4.9,4.5,4.5,4.625,4.574999999999999
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q1,13,497951.5,71135.92857142857,26.2,9.1,16.6,7.5,4.3,22.714285714285715,8.857142857142858,72.08571428571429,Summer,12,12,6.432490598706546e-16,1.0,1.0,6.123233995736766e-17,63.699999999999996,1637.3755102040818,201.18367346938777,514355.3,486187.7,515470.2,509625.2,500271.5,502055.44999999995,502397.175,20.6,21.62857142857143,20.557142857142857,20.3,21.114285714285714,21.025000000000002,20.75,8.671428571428573,8.642857142857142,8.371428571428572,8.185714285714285,8.657142857142858,8.57857142857143,8.325,75.0,73.87142857142858,74.54285714285713,77.3,74.43571428571428,74.38928571428572,75.42678571428571,26.6,23.6,29.0,27.3,25.1,25.95,25.4875,9.3,9.6,9.8,8.7,9.45,9.950000000000001,9.625,15.8,16.9,14.7,14.3,16.35,15.7,15.3625,6.5,7.0,6.6,6.7,6.75,6.625,6.7124999999999995,4.4,4.9,4.6,4.1,4.65,4.5,4.5625
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,1,435136.8,62162.4,19.8,8.1,12.0,5.4,3.4,13.914285714285716,5.457142857142857,82.07142857142857,Autumn,13,13,0.4647231720437685,0.8854560256532099,1.2246467991473532e-16,-1.0,48.699999999999996,1141.9653061224492,75.9322448979592,497951.5,514355.3,492208.6,488330.6,506153.4,497675.77499999997,500937.9625,22.714285714285715,20.6,21.314285714285717,19.485714285714288,21.65714285714286,21.564285714285717,21.051785714285717,8.857142857142858,8.671428571428573,8.628571428571428,7.857142857142857,8.764285714285716,8.7,8.408928571428572,72.08571428571429,75.0,74.14285714285714,77.22857142857143,73.54285714285714,73.775,74.775,26.2,26.6,24.6,25.3,26.4,25.25,25.35,9.1,9.3,11.1,9.5,9.2,9.774999999999999,9.675,16.6,15.8,15.4,14.4,16.200000000000003,16.175,15.65,7.5,6.5,6.4,6.7,7.0,6.8500000000000005,6.8125,4.3,4.4,4.1,4.9,4.35,4.425,4.5875
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,2,413416.2,59059.45714285714,18.6,6.8,12.8,6.5,3.2,14.771428571428572,6.042857142857143,82.07142857142857,Autumn,14,14,0.8229838658936564,0.5680647467311559,1.2246467991473532e-16,-1.0,47.900000000000006,1212.3122448979593,89.26163265306123,435136.8,497951.5,486187.7,505372.6,466544.15,483407.825,494288.7375,13.914285714285716,22.714285714285715,21.62857142857143,20.714285714285715,18.314285714285717,19.714285714285715,20.355357142857144,5.457142857142857,8.857142857142858,8.642857142857142,7.871428571428572,7.1571428571428575,7.9071428571428575,8.108928571428573,82.07142857142857,72.08571428571429,73.87142857142858,77.37142857142858,77.07857142857142,75.75714285714287,75.38035714285715,19.8,26.2,23.6,24.1,23.0,24.05,24.6625,8.1,9.1,9.6,9.6,8.6,9.025,9.5,12.0,16.6,16.9,16.8,14.300000000000002,15.325,15.35,5.4,7.5,7.0,7.2,6.45,6.6,6.65,3.4,4.3,4.9,4.6,3.8499999999999996,4.25,4.3999999999999995
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,3,427268.5,61038.357142857145,17.6,7.5,11.9,5.7,3.8,13.271428571428572,6.042857142857143,81.25714285714285,Autumn,15,15,0.992708874098054,0.120536680255323,1.2246467991473532e-16,-1.0,46.5,1078.3983673469388,80.19734693877551,413416.2,435136.8,514355.3,507627.2,424276.5,465214.95,482794.1875,14.771428571428572,13.914285714285716,20.6,21.4,14.342857142857145,18.0,19.6125,6.042857142857143,5.457142857142857,8.671428571428573,8.371428571428572,5.75,7.257142857142858,7.880357142857143,82.07142857142857,82.07142857142857,75.0,73.95714285714287,82.07142857142857,77.80714285714286,75.96785714285714,18.6,19.8,26.6,23.4,19.200000000000003,22.8,23.975,6.8,8.1,9.3,9.4,7.449999999999999,8.325,9.15,12.8,12.0,15.8,14.6,12.400000000000002,14.3,14.85,6.5,5.4,6.5,6.6,5.95,6.475,6.5625,3.2,3.4,4.4,4.9,3.3,3.825,4.225
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,4,423435.1,60490.72857142857,17.8,7.1,12.9,6.2,3.5,13.771428571428572,5.971428571428571,80.62857142857142,Autumn,16,16,0.9350162426854148,-0.35460488704253545,1.2246467991473532e-16,-1.0,47.5,1110.370612244898,82.23510204081632,427268.5,413416.2,497951.5,515470.2,420342.35,443443.25,472749.35000000003,13.271428571428572,14.771428571428572,22.714285714285715,20.557142857142857,14.021428571428572,16.167857142857144,18.59642857142857,6.042857142857143,6.042857142857143,8.857142857142858,8.371428571428572,6.042857142857143,6.6000000000000005,7.589285714285714,81.25714285714285,82.07142857142857,72.08571428571429,74.54285714285713,81.66428571428571,79.37142857142857,76.88035714285714,17.6,18.6,26.2,29.0,18.1,20.55,23.25,7.5,6.8,9.1,9.8,7.15,7.875,8.9125,11.9,12.8,16.6,14.7,12.350000000000001,13.325000000000001,14.512500000000001,5.7,6.5,7.5,6.6,6.1,6.275,6.45,3.8,3.2,4.3,4.6,3.5,3.675,4.0875
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,5,424590.4,60655.77142857143,19.4,6.9,11.0,5.5,3.6,13.814285714285717,5.842857142857143,77.85714285714286,Autumn,17,17,0.6631226582407952,-0.7485107481711012,1.2246467991473532e-16,-1.0,46.4,1075.5408163265308,80.7148979591837,423435.1,427268.5,435136.8,492208.6,425351.8,424814.15,461244.96249999997,13.771428571428572,13.271428571428572,13.914285714285716,21.314285714285717,13.521428571428572,13.932142857142857,17.748214285714287,5.971428571428571,6.042857142857143,5.457142857142857,8.628571428571428,6.007142857142856,5.878571428571429,7.289285714285714,80.62857142857142,81.25714285714285,82.07142857142857,74.14285714285714,80.94285714285714,81.50714285714285,77.64107142857142,17.8,17.6,19.8,24.6,17.700000000000003,18.450000000000003,21.85,7.1,7.5,8.1,11.1,7.3,7.375,8.575,12.9,11.9,12.0,15.4,12.400000000000002,12.4,14.287500000000001,6.2,5.7,5.4,6.4,5.95,5.95,6.4,3.5,3.8,3.4,4.1,3.65,3.4749999999999996,3.95
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,6,412939.7,58991.38571428572,17.7,7.6,10.9,5.6,3.8,15.6,6.371428571428572,75.84285714285714,Autumn,18,18,0.23931566428755768,-0.970941817426052,1.2246467991473532e-16,-1.0,45.599999999999994,1183.1485714285714,99.39428571428572,424590.4,423435.1,413416.2,486187.7,424012.75,422177.55,452792.6875,13.814285714285717,13.771428571428572,14.771428571428572,21.62857142857143,13.792857142857144,13.907142857142858,16.810714285714287,5.842857142857143,5.971428571428571,6.042857142857143,8.642857142857142,5.907142857142857,5.975,6.941071428571429,77.85714285714286,80.62857142857142,82.07142857142857,73.87142857142858,79.24285714285713,80.45357142857142,78.10535714285714,19.4,17.8,18.6,23.6,18.6,18.35,21.200000000000003,6.9,7.1,6.8,9.6,7.0,7.074999999999999,8.05,11.0,12.9,12.8,16.9,11.950000000000003,12.15,13.7375,5.5,6.2,6.5,7.0,5.85,5.9750000000000005,6.2875000000000005,3.6,3.5,3.2,4.9,3.55,3.5250000000000004,3.8874999999999997
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,7,421953.5,60279.07142857143,17.3,6.5,11.2,5.9,3.5,14.94285714285714,6.4,79.84285714285714,Autumn,19,19,-0.23931566428755743,-0.9709418174260521,1.2246467991473532e-16,-1.0,44.4,1193.080408163265,95.6342857142857,412939.7,424590.4,427268.5,514355.3,418765.05000000005,422058.42500000005,443636.6875,15.6,13.814285714285717,13.271428571428572,20.6,14.707142857142859,14.114285714285716,16.057142857142857,6.371428571428572,5.842857142857143,6.042857142857143,8.671428571428573,6.107142857142858,6.057142857142857,6.657142857142857,75.84285714285714,77.85714285714286,81.25714285714285,75.0,76.85,78.89642857142857,78.35178571428571,17.7,19.4,17.6,26.6,18.549999999999997,18.125,20.462500000000002,7.6,6.9,7.5,9.3,7.25,7.275,7.8,10.9,11.0,11.9,15.8,10.950000000000003,11.674999999999999,12.9875,5.6,5.5,5.7,6.5,5.55,5.75,6.112500000000001,3.8,3.6,3.8,4.4,3.7,3.675,3.75
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,8,424789.3,60684.18571428571,18.0,6.9,12.1,5.7,3.3,15.55714285714286,6.628571428571428,75.17142857142858,Autumn,20,20,-0.663122658240795,-0.7485107481711013,1.2246467991473532e-16,-1.0,46.0,1169.4526530612247,103.12163265306124,421953.5,412939.7,423435.1,497951.5,417446.6,420729.67500000005,432086.46249999997,14.94285714285714,15.6,13.771428571428572,22.714285714285715,15.271428571428569,14.532142857142858,15.35,6.4,6.371428571428572,5.971428571428571,8.857142857142858,6.385714285714286,6.146428571428571,6.373214285714286,79.84285714285714,75.84285714285714,80.62857142857142,72.08571428571429,77.84285714285714,78.54285714285714,78.95714285714286,17.3,17.7,17.8,26.2,17.5,18.05,19.299999999999997,6.5,7.6,7.1,9.1,7.05,7.025,7.449999999999999,11.2,10.9,12.9,16.6,11.05,11.5,12.4125,5.9,5.6,6.2,7.5,5.75,5.8,6.0375000000000005,3.5,3.8,3.5,4.3,3.65,3.6,3.6375
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,9,413089.9,59012.84285714286,20.1,7.0,11.9,6.1,3.2,15.271428571428572,6.214285714285714,75.67142857142858,Autumn,21,21,-0.9350162426854147,-0.3546048870425359,1.2246467991473532e-16,-1.0,48.300000000000004,1155.6108163265308,94.90102040816328,424789.3,421953.5,424590.4,435136.8,423371.4,421068.225,422941.1875,15.55714285714286,14.94285714285714,13.814285714285717,13.914285714285716,15.25,14.97857142857143,14.455357142857144,6.628571428571428,6.4,5.842857142857143,5.457142857142857,6.514285714285714,6.310714285714286,6.0946428571428575,75.17142857142858,79.84285714285714,77.85714285714286,82.07142857142857,77.50714285714287,77.17857142857143,79.34285714285714,18.0,17.3,19.4,19.8,17.65,18.1,18.275,6.9,6.5,6.9,8.1,6.7,6.975,7.175000000000001,12.1,11.2,11.0,12.0,11.650000000000002,11.3,11.85,5.7,5.9,5.5,5.4,5.800000000000001,5.675,5.8125,3.3,3.5,3.6,3.4,3.4,3.55,3.5125
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,Q2,10,428768.3,61252.61428571429,19.5,6.4,11.0,5.7,3.4,16.32857142857143,6.771428571428571,79.31428571428572,Autumn,22,22,-0.992708874098054,0.1205366802553232,1.2246467991473532e-16,-1.0,46.0,1295.0889795918367,110.56775510204082,413089.9,424789.3,412939.7,413416.2,418939.6,418193.10000000003,420185.325,15.271428571428572,15.55714285714286,15.6,14.771428571428572,15.414285714285716,15.342857142857143,14.625,6.214285714285714,6.628571428571428,6.371428571428572,6.042857142857143,6.421428571428571,6.4035714285714285,6.189285714285714,75.67142857142858,75.17142857142858,75.84285714285714,82.07142857142857,75.42142857142858,76.63214285714287,78.54285714285714,20.1,18.0,17.7,18.6,19.05,18.275,18.3125,7.0,6.9,7.6,6.8,6.95,7.0,7.0375000000000005,11.9,12.1,10.9,12.8,12.000000000000002,11.525,11.8375,6.1,5.7,5.6,6.5,5.9,5.824999999999999,5.8999999999999995,3.2,3.3,3.8,3.2,3.25,3.4499999999999997,3.4875
