Country,State,Region,Farm_ID,Year,Quarter,Week,Water_Weekly_L,Water_Daily_Avg_L,Nitrogen_Weekly,Phosphorus_Weekly,Potassium_Weekly,Calcium_Weekly,Magnesium_Weekly,Temperature_Avg_C,Sunlight_Hours,Humidity_Percent
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,11,395257.2,56465.31428571429,19.0,6.8,10.7,6.5,3.8,15.62857142857143,6.871428571428572,74.92857142857143
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,12,409206.0,58458.0,19.5,7.0,10.8,6.3,3.2,16.514285714285712,6.371428571428572,74.7
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,2,13,407766.3,58252.32857142857,19.3,6.1,9.9,6.1,3.6,16.3,6.942857142857143,73.44285714285715
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,1,364955.2,52136.45714285714,11.7,3.9,6.6,5.1,2.5,8.242857142857144,4.671428571428572,80.97142857142856
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,2,384354.1,54907.72857142857,11.0,3.9,6.3,4.8,2.6,8.628571428571428,4.628571428571428,80.51428571428572
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,3,356196.7,50885.24285714286,10.1,3.5,6.2,5.4,2.7,9.342857142857143,4.914285714285714,84.64285714285714
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,4,379214.5,54173.5,11.6,3.8,7.1,5.2,2.3,9.385714285714286,4.414285714285714,83.25714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,5,375893.0,53699.0,10.0,3.3,5.9,5.1,2.4,9.471428571428572,4.8428571428571425,83.47142857142856
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,6,368214.3,52602.04285714286,10.3,3.6,6.9,5.3,2.3,10.514285714285714,4.614285714285714,81.22857142857143
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,7,361729.9,51675.700000000004,11.2,3.4,6.7,5.1,2.5,9.857142857142858,4.557142857142857,81.62857142857142
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,8,348397.5,49771.07142857143,11.0,3.9,6.4,4.6,2.3,9.671428571428573,5.257142857142857,82.0
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,9,357104.8,51014.97142857143,11.8,3.4,6.0,4.6,2.6,11.528571428571428,5.271428571428571,81.32857142857142
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,10,374560.7,53508.67142857143,11.9,3.9,6.9,5.3,2.7,10.757142857142856,5.228571428571429,76.67142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,11,348443.7,49777.67142857143,11.6,3.9,6.7,4.8,2.6,11.642857142857142,5.114285714285714,80.91428571428571
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,12,351404.8,50200.68571428571,11.7,3.6,6.1,5.3,2.4,12.12857142857143,5.571428571428571,76.25714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,3,13,349511.2,49930.17142857143,12.1,3.4,6.5,4.9,2.7,10.985714285714286,5.285714285714286,79.68571428571428
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,1,424363.9,60623.41428571429,16.8,8.1,10.4,5.5,3.8,15.37142857142857,6.728571428571429,78.32857142857142
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,2,432557.9,61793.985714285714,17.8,7.5,10.5,6.3,3.4,14.342857142857143,7.1571428571428575,75.15714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,3,441184.0,63026.28571428572,19.3,7.2,10.1,6.2,3.7,15.014285714285714,7.314285714285715,76.11428571428571
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,4,421412.4,60201.77142857143,17.8,7.3,11.0,5.8,3.5,15.842857142857143,7.3999999999999995,73.05714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,5,427289.1,61041.299999999996,19.4,7.2,11.4,5.4,3.6,16.242857142857144,7.457142857142857,76.25714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,6,429910.8,61415.82857142857,18.8,7.1,11.4,6.5,4.0,15.742857142857144,7.528571428571429,73.2
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,7,423133.5,60447.642857142855,18.5,8.3,12.2,6.2,3.6,14.971428571428572,7.514285714285714,73.8
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,8,426727.9,60961.12857142858,21.2,7.0,11.5,6.2,3.6,15.071428571428571,7.3999999999999995,72.42857142857143
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,9,446965.8,63852.25714285714,17.4,8.4,12.5,5.5,3.7,16.228571428571428,7.485714285714286,73.1
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,10,431201.7,61600.24285714286,18.8,8.7,11.9,6.4,3.9,17.37142857142857,7.757142857142857,69.05714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,11,462626.4,66089.48571428572,20.8,8.5,12.2,6.4,3.8,16.857142857142858,8.142857142857142,73.68571428571428
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,12,462043.9,66006.27142857143,19.2,8.5,12.9,6.0,3.9,17.37142857142857,7.8999999999999995,69.47142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2021,4,13,442546.3,63220.9,19.8,8.4,11.5,5.7,3.9,16.257142857142856,7.857142857142857,69.12857142857142
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,1,502333.0,71761.85714285714,24.6,8.8,14.4,7.6,4.6,18.414285714285715,7.528571428571429,78.75714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,2,504408.2,72058.31428571428,22.4,9.2,15.5,7.5,4.9,20.214285714285715,7.871428571428572,77.37142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,3,496017.6,70859.65714285713,23.9,9.0,14.7,6.3,4.4,20.214285714285715,7.8,78.28571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,4,508134.0,72590.57142857143,23.5,10.0,13.6,6.9,4.6,19.74285714285714,7.614285714285714,77.05714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,5,484731.5,69247.35714285714,23.2,9.5,14.3,6.8,4.7,20.428571428571427,7.671428571428572,76.60000000000001
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,6,499846.5,71406.64285714286,23.5,8.7,15.4,7.7,4.4,20.87142857142857,8.242857142857144,74.92857142857143
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,7,511518.6,73074.08571428571,29.1,9.1,13.8,6.5,4.2,21.142857142857142,8.2,77.52857142857144
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,8,513132.9,73304.7,28.0,9.1,15.7,7.3,4.2,20.928571428571427,7.985714285714286,76.78571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,9,519450.2,74207.17142857143,25.2,10.3,16.8,6.9,4.7,21.942857142857143,7.985714285714286,72.31428571428572
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,10,490897.4,70128.2,28.1,10.7,15.7,6.5,4.9,21.614285714285717,8.442857142857143,72.35714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,11,518033.1,74004.72857142857,26.4,9.5,16.5,7.5,4.1,21.142857142857142,8.385714285714286,73.55714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,12,524392.9,74913.27142857143,25.9,10.4,16.8,6.7,4.8,21.928571428571427,8.742857142857144,75.15714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,1,13,507190.9,72455.84285714287,24.8,10.7,16.3,6.4,4.8,21.842857142857145,8.557142857142857,74.88571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,1,427170.5,61024.357142857145,17.4,8.3,11.2,5.7,3.7,13.714285714285714,5.771428571428571,79.77142857142857
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,2,429087.5,61298.21428571428,17.2,8.4,10.9,6.3,3.5,14.757142857142856,5.928571428571429,78.74285714285715
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,3,441480.8,63068.68571428571,20.7,6.8,11.2,6.2,3.4,14.6,5.971428571428571,79.61428571428571
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,4,433804.2,61972.02857142857,20.3,7.2,12.2,5.7,3.3,14.37142857142857,5.971428571428571,78.8
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,5,416436.3,59490.9,20.2,6.8,11.0,6.0,3.7,14.028571428571428,5.771428571428571,79.04285714285713
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,6,442851.9,63264.55714285715,17.5,6.8,10.8,5.4,3.5,14.914285714285715,5.971428571428571,76.01428571428572
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,7,417112.1,59587.44285714285,17.0,7.9,11.4,6.4,3.6,16.02857142857143,6.242857142857143,79.18571428571428
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,8,421218.8,60174.114285714284,20.4,7.1,12.0,5.9,3.2,15.171428571428573,6.057142857142857,74.88571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,9,424083.2,60583.31428571429,17.4,7.9,10.3,6.3,3.6,14.614285714285714,6.114285714285714,77.54285714285713
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,10,426952.5,60993.21428571428,17.8,7.6,12.1,5.8,3.6,15.185714285714285,6.471428571428571,76.45714285714287
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,11,418392.4,59770.34285714286,16.5,7.2,10.1,5.6,3.2,16.428571428571427,6.8428571428571425,74.58571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,12,395654.3,56522.04285714286,16.4,7.2,11.2,5.9,3.6,16.071428571428573,6.685714285714285,74.65714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,2,13,423999.8,60571.4,19.2,6.6,10.7,6.2,3.8,16.95714285714286,6.785714285714286,76.47142857142856
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,1,387621.7,55374.52857142857,12.1,3.9,6.4,4.6,2.6,8.22857142857143,4.171428571428572,81.34285714285714
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,2,381700.9,54528.700000000004,10.2,3.4,6.5,4.8,2.4,10.185714285714285,4.485714285714286,82.04285714285713
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,3,361051.8,51578.82857142857,12.4,4.2,6.8,4.8,2.3,10.442857142857141,4.8,82.11428571428571
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,4,379961.9,54280.27142857143,10.3,3.8,6.7,5.0,2.3,9.671428571428573,4.757142857142857,83.74285714285715
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,5,365897.7,52271.1,10.6,3.8,6.2,5.4,2.7,9.614285714285714,4.857142857142857,82.98571428571428
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,6,370940.5,52991.5,12.2,3.6,6.4,5.5,2.6,10.071428571428571,4.685714285714285,79.35714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,7,369750.7,52821.52857142857,11.5,3.7,6.7,4.7,2.5,10.200000000000001,4.685714285714285,79.17142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,8,380963.2,54423.31428571429,12.1,3.7,6.0,4.7,2.5,10.471428571428572,5.128571428571428,77.31428571428572
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,9,368934.4,52704.91428571429,10.7,3.3,6.7,5.0,2.6,10.0,5.414285714285714,81.64285714285714
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,10,367452.2,52493.17142857143,10.1,3.6,6.2,5.4,2.5,10.571428571428571,5.385714285714286,81.62857142857142
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,11,379047.7,54149.67142857143,10.6,4.0,6.3,5.3,2.4,11.971428571428572,5.071428571428571,80.07142857142857
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,12,361510.7,51644.385714285716,9.9,3.6,6.1,5.1,2.5,11.642857142857142,5.671428571428572,77.85714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,3,13,367053.0,52436.142857142855,11.1,3.4,6.7,4.5,2.6,11.328571428571427,5.185714285714285,78.68571428571428
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,1,435513.5,62216.21428571428,19.6,8.1,10.9,5.4,3.8,15.200000000000001,6.914285714285714,76.48571428571428
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,2,432789.7,61827.1,18.5,7.3,11.5,5.9,3.9,15.542857142857143,7.3428571428571425,74.72857142857143
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,3,418838.3,59834.04285714286,19.4,7.7,11.9,6.4,4.1,14.957142857142857,7.5,73.7
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,4,428838.1,61262.58571428571,20.3,6.6,10.2,6.2,4.1,14.857142857142858,7.3999999999999995,75.8
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,5,453095.2,64727.885714285716,19.5,8.2,11.2,6.2,4.1,15.942857142857141,7.285714285714286,71.42857142857143
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,6,421311.1,60187.299999999996,17.4,7.7,11.6,6.4,3.5,16.257142857142856,7.271428571428571,72.67142857142856
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,7,424959.6,60708.514285714286,21.2,7.1,11.5,5.7,3.6,16.62857142857143,7.585714285714286,71.44285714285715
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,8,425048.7,60721.24285714286,17.9,7.7,11.4,6.1,3.9,16.7,7.857142857142857,73.64285714285714
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,9,442579.5,63225.642857142855,19.2,7.9,11.2,6.1,3.9,15.814285714285715,7.914285714285714,70.35714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,10,465649.9,66521.41428571429,18.9,8.1,12.4,6.3,3.5,16.114285714285714,8.085714285714285,72.7
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,11,454505.7,64929.385714285716,21.7,8.3,11.8,6.2,3.9,16.742857142857144,8.114285714285714,70.05714285714285
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,12,459723.7,65674.81428571428,21.1,9.0,12.6,5.8,3.8,17.4,8.028571428571428,72.94285714285715
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2022,4,13,458787.0,65541.0,21.9,7.6,11.5,6.0,4.2,17.642857142857142,7.714285714285714,69.27142857142857
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,1,501423.4,71631.91428571429,27.1,9.4,15.5,7.3,4.4,20.185714285714287,7.828571428571428,77.04285714285713
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,2,487692.6,69670.37142857142,27.6,10.0,16.2,7.7,4.8,20.5,7.428571428571429,80.88571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,3,499816.9,71402.41428571429,25.3,10.0,15.4,7.1,4.8,20.37142857142857,7.428571428571429,77.88571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,4,524372.6,74910.37142857142,28.2,9.8,16.3,6.6,4.1,19.228571428571428,7.6571428571428575,74.39999999999999
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,5,521639.2,74519.88571428572,23.7,10.8,14.6,7.0,4.1,21.042857142857144,7.8,76.28571428571429
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,6,525645.9,75092.27142857143,27.6,10.8,15.0,7.3,4.2,19.714285714285715,7.985714285714286,77.44285714285715
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,7,508383.3,72626.18571428572,29.1,8.7,14.9,6.9,4.9,19.857142857142858,8.085714285714285,75.44285714285715
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,8,526491.4,75213.05714285714,29.3,9.5,15.0,6.6,4.2,20.071428571428573,8.314285714285715,75.85714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,9,526733.4,75247.62857142858,27.0,8.8,16.3,6.6,4.2,21.0,8.385714285714286,76.01428571428572
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,10,515826.0,73689.42857142857,24.6,10.8,14.9,6.5,4.9,20.442857142857143,8.528571428571428,73.0
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,11,493678.9,70525.55714285714,24.8,9.1,15.9,6.3,4.1,22.24285714285714,8.185714285714285,72.11428571428571
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,12,523931.1,74847.3,23.5,10.4,15.4,7.3,4.5,21.214285714285715,8.4,71.95714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,1,13,522584.9,74654.98571428572,29.0,8.8,16.2,7.5,4.5,21.985714285714288,8.328571428571427,73.52857142857144
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,1,439469.8,62781.4,19.1,8.0,12.0,6.5,3.2,14.785714285714286,5.385714285714286,80.37142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,2,425409.1,60772.72857142857,20.1,7.7,11.5,6.6,3.5,14.299999999999999,5.485714285714286,78.72857142857143
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,3,436432.8,62347.54285714286,21.0,7.8,12.5,6.3,3.3,14.5,5.585714285714286,80.87142857142858
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,4,434557.3,62079.614285714284,18.8,6.7,11.6,6.2,3.4,13.971428571428572,5.8428571428571425,78.97142857142856
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,5,422454.6,60350.65714285714,17.2,6.7,12.2,6.4,3.5,15.571428571428571,5.728571428571429,80.82857142857142
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,6,434925.8,62132.25714285714,18.2,7.6,12.1,6.4,3.7,15.071428571428571,6.0,76.15714285714286
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,7,445501.3,63643.04285714286,17.4,7.5,10.8,5.5,3.7,15.357142857142858,6.1000000000000005,78.47142857142856
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,8,422773.9,60396.27142857143,20.0,8.0,12.0,6.1,3.6,15.9,6.328571428571428,79.42857142857143
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,9,408738.6,58391.22857142857,16.8,7.4,10.7,5.8,3.2,16.45714285714286,6.6000000000000005,75.77142857142857
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,10,434687.5,62098.21428571428,18.6,6.2,11.5,5.7,3.4,15.942857142857141,6.385714285714286,74.60000000000001
Australia,Victoria,Gippsland,FARM_GIPPSLAND_DAIRY_PLAINS_FARM,2023,2,11,414276.9,59182.41428571429,18.1,6.2,9.9,5.6,3.6,15.771428571428572,6.685714285714285,78.0
